CID,CRPName,Party
N00005818,"Jackson Lee, Sheila",D
N00041177,"Jackson, Brian",R
N00007902,"Jackson, Chuck",I
N00033179,"Jackson, Earl W Sr",R
N00038770,"Jackson, Jarrin",R
N00043965,"Jackson, Ryan Daniel",I
N00034406,"Jackson, Shanelle",D
N00038438,"Jacob, Peter",D
N00042081,"Jacobs, Sara",D
N00041565,"Jacobsen, Leann",D
N00042363,"Jacobson, Bruce",R
N00040855,"Jaffe, Stephen",D
N00041550,"James, John",R
N00040962,"James, Jon",R
N00041463,"Jammal, Sam",D
N00043302,"Janicek, Chris",D
N00040863,"Janowicz, Phil",D
N00043395,"Janowski, Edward",I
N00040856,"Janz, Andrew",D
N00041094,"Jarvis, Bernard Stefan",D
N00042697,"Jarvis, Rob",D
N00041218,"Javed, Faeiza",D
N00042285,"Javed, Tahir",D
N00040599,"Jaworski, Rick",D
N00038858,"Jayapal, Pramila",D
N00038596,"Jefferson, Jrmar",D
N00033640,"Jeffries, Hakeem",D
N00043083,"Jenkins, Abe Lincoln Brian",R
N00035531,"Jenkins, Evan",R
N00043494,"Jenkins, Jonathan",I
N00042732,"Jenkins, Ondraus",D
N00043084,"Jenkins, Torrey",R
N00005595,"Jenner, Virginia",D
N00041135,"Jennings, Adam",D
N00041513,"Jennings, Vince",D
N00043966,"Jensen, Ty",I
N00041130,"Jensen, Vicki",D
N00042758,"Jetmir, Erik",D
N00041786,"Jetta, Kurt",R
N00043001,"Jette, Matt",D
N00043274,"Jette, Matt",D
N00042119,"Jhingan, Vandana",R
N00043085,"Jimenez, Tim",R
N00042204,"Jodun, Wade Allen",D
N00041056,"Joffrion, Peter",D
N00042575,"Johns, Jimmy",R
N00032088,"Johnson, Bill",R
N00043938,"Johnson, Cynthia",3
N00042806,"Johnson, Dave",3
N00040559,"Johnson, Dusty",R
N00008122,"Johnson, Eddie Bernice",D
N00001080,"Johnson, Ernest",3
N00042412,"Johnson, Francys",D
N00033226,"Johnson, Gary",L
N00027848,"Johnson, Hank",D
N00042493,"Johnson, Kevin",D
N00042274,"Johnson, Margarita Ruiz",D
N00039106,"Johnson, Mike",R
N00042519,"Johnson, Richard",D
N00036859,"Johnson, Sam",3
N00041193,"Johnson, Sam",D
N00043128,"Johnson, Will",I
N00043150,"Johnson-Green, Tabitha",D
N00043723,"Johnston, Brianna",3
N00041682,"Jois, Goutam",D
N00041942,"Joli, Mayra",I
N00038665,"Jones, Art",R
N00042648,"Jones, Brenda",D
N00039944,"Jones, Dennis",R
N00024817,"Jones, Doug",D
N00041499,"Jones, Erik",D
N00043883,"Jones, Frederick",I
N00041603,"Jones, Gina",D
N00042369,"Jones, Griffin Gilbert",R
N00036457,"Jones, Jeff",R
N00041402,"Jones, Jimmy Darnell",D
N00041957,"Jones, Kevin",R
N00035791,"Jones, Lateresa",I
N00041712,"Jones, Mary",R
N00039068,"Jones, Rafael Arden Sr",R
N00042948,"Jones, Shawn",L
N00042179,"Jones, Stephanie",R
N00042190,"Jones, Ted",D
N00002299,"Jones, Walter B Jr",R
N00027894,"Jordan, Jim",R
N00042061,"Jordan, Lawrence",D
N00040223,"Jorgensen, Brandon William",D
N00041952,"Joshi, Yatish",D
N00035007,"Joyce, David P",R
N00043242,"Joyce, John",R
N00042883,"Joyner, John Joseph Jr",D
N00026904,"Judy, Cody Robert",I
N00041562,"Junquera, Ricky",D
N00043260,"Justo, Ed",R
N00033182,"Kabat, Ronald P",I
N00042163,"Kabir, Mohammad",D
N00042793,"Kahle, Richard",I
N00036962,"Kahn, Lynn",3
N00038743,"Kaiman, Jon",D
N00033177,"Kaine, Tim",D
N00039322,"Kairnes, Jerry",I
N00043098,"Kalagias, Michael J",L
N00043626,"Kalberer, George H",D
N00006887,"Kalemkarian, Timothy Charles",R
N00043009,"Kane, Gino",R
N00043970,"Kane, Reid",3
N00042485,"Kane, Tim",R
N00041189,"Kanew, Justin",D
N00041790,"Kaple, Bobby",D
N00003522,"Kaptur, Marcy",D
N00043145,"Karim, Annisa",D
N00042001,"Karpacs, George",R
N00035934,"Katko, John",R
N00033516,"Kaufman, Joe",R
N00039559,"Keady, Jim",D
N00040242,"Kearney, Howard",L
N00031933,"Keating, Bill",D
N00040677,"Keatley, Richard",D
N00039794,"Keefe, Linda",D
N00043506,"Keegan, Trevor",R
N00041153,"Keeling, Mike",D
N00043364,"Keeter, Mark",D
N00041078,"Keirstead, Hans",D
N00036907,"Keith, Pam",D
N00036659,"Keller, Craig",R
N00041341,"Kelly, Brendan",D
N00041780,"Kelly, Jeremy J",R
N00031647,"Kelly, Mike",R
N00035215,"Kelly, Robin",D
N00043301,"Kelly, Steve",3
N00037003,"Kelly, Trent",R
N00035976,"Kelsey, Bill",L
N00042848,"Kemp, Michael",R
N00042638,"Kemph , Daniel",D
N00041949,"Kennedy, Abigail",D
N00041773,"Kennedy, Chris",D
N00034044,"Kennedy, Joe III",D
N00043330,"Kennedy, Kirsten",D
N00043086,"Kennedy, Mike",R
N00041704,"Kennedy, Rick",D
N00041265,"Kennedy, Robert Jr",D
N00041766,"Kensinger, Kevin Thomas",I
N00034006,"Kent, Gaylon",L
N00041803,"Kerelis, Arturas",D
N00003777,"Kern, Bob",D
N00040833,"Kerner, Debra",D
N00040818,"Kerns, Dale",L
N00041084,"Kerr, Andy",D
N00041313,"Kerr, Paul",D
N00041960,"Kerrigan, Stephen",D
N00041825,"Kesto, Klint",R
N00043321,"Ketler, Jamey",R
N00039814,"Khan, Agha",R
N00026427,"Khanna, Ro",D
N00041932,"Khojasteh, Ryan",D
N00041401,"Khorasani, Ali",D
N00040451,"Kiani, Kiumars G.",3
N00040767,"Kidd, Damian",R
N00042456,"Kiehne, John",D
N00041833,"Kier, Grant",D
N00033530,"Kihuen, Ruben",D
N00033395,"Kildee, Dan",D
N00042768,"Kiley, Dan",R
N00034453,"Kilmer, Derek",D
N00041370,"Kim, Andy",D
N00041769,"Kim, Bryan",I
N00041098,"Kim, David",D
N00035724,"Kim, Donna Mercado",D
N00043041,"Kim, Pearl",R
N00041687,"Kim, Ronald",D
N00042386,"Kim, Young",R
N00042097,"Kimaz, Nicolas",R
N00042913,"Kimbrell, Josh",R
N00042567,"Kimbrough, Edward",D
N00043963,"Kimple, Kevin",3
N00004403,"Kind, Ron",D
N00041955,"Kindig, Susan",D
N00041651,"King, Adam",D
N00034580,"King, Angus",I
N00041398,"King, Jess",D
N00001193,"King, Pete",R
N00025237,"King, Steven A",R
N00041548,"Kingston, John",R
N00030667,"Kinzinger, Adam",R
N00043359,"Kipnis, Daryl",R
N00040416,"Kipuke, Joel",R
N00043926,"Kirby, Andrea",3
N00043336,"Kirk, Tony",L
N00042953,"Kirkham, Sheldon",D
N00042902,"Kirkland, Thaddeus",D
N00029260,"Kirkpatrick, Ann",D
N00040649,"Kirkwood, Keith Lucas",D
N00042032,"Kirtdoll, Eulas",I
N00042064,"Kishineff, Jason",3
N00032355,"Kissick, Don",L
N00041656,"Kleine, Mark",R
N00043185,"Kleinman, Nathan I",D
N00036357,"Klepinger, Robert",D
N00040840,"Kline, Danner",D
N00027500,"Klobuchar, Amy",D
N00043368,"Klutts, Roxann",D
N00043575,"Knauer, Haryaksha Gregor",3
N00043058,"Kneitz, Henry Rudolph III",R
N00032619,"Knepper, Howard",I
N00038908,"Knight, Drew",D
N00035820,"Knight, Steve",R
N00041106,"Knupp , Paul",3
N00042468,"Koble, Clint",D
N00025996,"Kocher, Victor",L
N00041663,"Koh, Dan",D
N00041247,"Kohl, Dan",D
N00041081,"Kohne, Chase",D
N00030944,"Kokesh, Adam",L
N00043227,"Koller, Marc W",3
N00035995,"Kolls, Mike",L
N00043927,"Kolody, Philip",3
N00042922,"Kong, James",L
N00040213,"Koniz, Gary",I
N00043339,"Koonse, Steven",L
N00041166,"Kopser, Joseph",D
N00043967,"Korb, Abe",I
N00042409,"Korka, Stephen",D
N00041242,"Kostenko, Brian",D
N00041483,"Kotick, Michael",D
N00040842,"Kovacs, Billy",D
N00042455,"Kovacs, Joe",R
N00042646,"Kowall, Michael",R
N00043182,"Kowalski, Arron",R
N00043579,"Kozicki, Ziggy",D
N00042008,"Krantz, Catherine",D
N00033645,"Kraus, Steven",R
N00042266,"Krause, Ryan",R
N00040760,"Krebs, Shantel",R
N00001933,"Krehnbrink, Bill",R
N00042681,"Kreienkamp, Bob",R
N00043076,"Krembs, Bradley",R
N00040689,"Kremer, Amy",R
N00041577,"Kresge, Brian",L
N00033240,"Krishnamoorthi, Raja",D
N00042723,"Krohn, Shanda",I
N00043716,"Kuchnir, Louis",R
N00041225,"Kuder, Keith",R
N00043500,"Kula, Shannon",D
N00043750,"Kulikowski, Jaimie",D
N00042142,"Kulkarni, Sri",D
N00041183,"Kulma, David",3
N00043326,"Kumar, Lokesh",R
N00041869,"Kuniegel, Robert",R
N00043164,"Kurtz, Jeremy",R
N00042929,"Kurtz, Phil",L
N00035274,"Kurzon, Jeff",3
N00043320,"Kushmer, Danny",R
N00030875,"Kuster, Ann",D
N00025445,"Kustoff, David",R
N00042139,"L'Italien, Barbara",D
N00042846,"Labo, Thomas Mathew",3
N00031377,"Labrador, Raul",R
N00043199,"LaCroix, Thomas",R
N00030308,"Ladner, Lenny",I
N00037031,"LaHood, Darin",R
N00042833,"Lake, Jeannine Lee",D
N00001163,"Lamagna, Dal",I
N00033987,"LaMalfa, Doug",R
N00041870,"Lamb, Conor",D
N00041571,"Lamb, Jonathan",R
N00042572,"Lambert, Russell",R
N00028133,"Lamborn, Douglas L",R
N00000898,"Lance, Leonard",R
N00041030,"Lancona, Caren",R
N00039158,"Landholt, Nicholas",L
N00043432,"Lane, Erik",D
N00042584,"Lange, Werner",D
N00009724,"Langevin, Jim",D
N00042844,"Langlinais, David",I
N00035729,"LaPolice, Alan",D
N00041157,"Lara, Damian",D
N00041772,"Larsen, Kristopher",D
N00009759,"Larsen, Rick",D
N00000575,"Larson, John B",D
N00043452,"LaSala, Michael",I
N00040621,"Lasater, Brent",R
N00043325,"Lashar, James David",L
N00038427,"Lasonde, Joan McCarthy",R
N00027828,"Latas, Jeff",D
N00041171,"Latessa, Phil",D
N00043530,"Latorre, Keith",I
N00012233,"Latta, Robert E",R
N00043517,"Latzman, Patricia",3
N00042430,"Lave, Jasen",D
N00043226,"Lavine, Ben",D
N00036940,"Law, Phil",R
N00041287,"Lawrence, Bobby",R
N00034068,"Lawrence, Brenda",D
N00039316,"Lawrence, Derickson",D
N00042203,"Lawrence, Michele",D
N00037434,"Laws, Jerry",R
N00042658,"Laws, Michelle",D
N00030642,"Lawson, Al",D
N00042778,"Lawton, Robert",D
N00042703,"Lazer, Rich",D
N00011016,"Leach, Daylin",D
N00041089,"Learned, Andrew",D
N00041226,"Leavitt, Mike",R
N00040979,"Leclaire, Nicole",D
N00042254,"Leddy, Jacob",L
N00042923,"Leder, Ben",L
N00008046,"Lee, Barbara",D
N00042785,"Lee, Herbert",D
N00043087,"Lee, Joshua C.",R
N00042859,"Lee, Michelle",D
N00037247,"Lee, Susie",D
N00042622,"Leech, Roland E",D
N00041406,"Leeder, Jennie Lou",D
N00040336,"Leef, Jeff",R
N00043535,"Legendre, Brent",I
N00042387,"Leggett, Suzi Park",D
N00037292,"Leib, Bryan",R
N00041749,"Leibsohn, Seth",R
N00041181,"Leiner, Bill",D
N00041120,"Leineweber, Jason",D
N00042483,"Leneghan, Melanie",R
N00042093,"Leon, Benjamin Robert",R
N00036577,"Leonard, Leona",D
N00042980,"Leonard, Nick",D
N00029779,"Leone, Ross",L
N00006303,"Leroy, Dave",R
N00042056,"Lesko, Debbie",R
N00042482,"Lett, Crystal",D
N00041535,"Levario, Miguel",D
N00040691,"Levell, Bruce",R
N00041840,"Levenson, Stewart",R
N00042149,"Levin, Andy",D
N00040667,"Levin, Mike",D
N00042884,"Levin, Naomi",R
N00003950,"Levin, Sander",D
N00042691,"Levindofske, McKenzie",I
N00042102,"Levine, Sam",D
N00041863,"Lewis, Andrew",R
N00042942,"Lewis, Emmanuel",L
N00038400,"Lewis, Jason",R
N00042728,"Lewis, Jennifer",D
N00002577,"Lewis, John",D
N00043038,"Lewis, Jonathan",D
N00043261,"Lewis, Kathryn",R
N00035059,"Lewis, Marcus",D
N00003796,"Leyva, Mark",R
N00037054,"Li, Lindy",D
N00031464,"Liberatore, Phil",R
N00043519,"Lieberman, Joseph",3
N00042878,"Liebman, Bob",I
N00037445,"Liebnitzky, Wayne",R
N00041898,"Liegeois, Beau",D
N00042051,"Lien, David",R
N00035825,"Lieu, Ted",D
N00043925,"Lillis, David J",3
N00042817,"Lin, Eric",R
N00043392,"Linck, Fred",3
N00042628,"Linderman, Hank",D
N00042943,"Lindsey, Desarae",L
N00041734,"Lindstrom, Beth",R
N00031346,"Lingerfelt, Charles",R
N00029980,"Linn, Max",R
N00042208,"Linsenmayer, Ray",D
N00027239,"Lipinski, Daniel",D
N00042151,"Lipton, Ellen",D
N00042887,"Little, Michael",I
N00043283,"Little, Patrick",R
N00042138,"Littlefield, Patrick",D
N00040968,"Litton, Todd",D
N00042066,"Livengood, Marla",R
N00043081,"Livingston, Larry",D
N00034773,"Llop, William",R
N00041813,"Lloyd, Lisa",R
N00039430,"Lloyd, Sarah",D
N00000851,"LoBiondo, Frank",R
N00027741,"Loebsack, David",D
N00043878,"Loecken, Thomas",I
N00035990,"Loewe, Mark",L
N00007479,"Lofgren, Zoe",D
N00040709,"Lombard, Laura",D
N00039804,"Lombardi-Olive, Camille",R
N00041342,"Londrigan, Betsy Dirksen",D
N00000738,"Lonegan, Steve",R
N00030676,"Long, Billy",R
N00042301,"Long, Carolyn",D
N00041509,"Longjohn, Matt",D
N00043380,"Look, Bob",D
N00041582,"Loor, Steve",R
N00042117,"Lopez, Raymond",D
N00042416,"Lorch, Mark",R
N00042634,"Lord, Christina",D
N00035347,"Loudermilk, Barry",R
N00043252,"Lough, Steve",D
N00042054,"Lovas, Phil",R
N00041684,"Love, John",D
N00033842,"Love, Mia",R
N00041325,"Love, Pam",R
N00042958,"Love, Shirley",D
N00011114,"Love, Steve",D
N00042641,"Lovvorn, Tracy",R
N00033274,"Lowenthal, Alan",D
N00001024,"Lowey, Nita M",D
N00042727,"Lowry, Joshua",I
N00031433,"Lucas, Conrad",R
N00005559,"Lucas, Frank D",R
N00027275,"Luchansky, John",D
N00034597,"Lucia, George Campbell",R
N00043201,"Luckner, Greg",L
N00042895,"Ludmir, Daniel",D
N00043195,"Luetkehans, Ian",R
N00030026,"Luetkemeyer, Blaine",R
N00029562,"Lujan, Ben Ray",D
N00040049,"Luke, Brian",L
N00040126,"Luke, Mike",L
N00042704,"Lunkenheimer, Ashley",D
N00042293,"Luria, Elaine",D
N00042227,"Lurie, Justin",R
N00043779,Lutz Daniel,3
N00040305,"Lutz, Mary Ann",D
N00040810,"Lyles, Tamika",D
N00041981,"Lynch, Holly",D
N00035946,"Lynch, Matt",R
N00013855,"Lynch, Stephen F",D
N00043640,"Lyras, Louis G",I
N00042068,"Lytton, Dennis",D
N00040615,"Mac, Steven",D
N00036155,"MacArthur, Thomas",R
N00042985,"Macek, Dennis Frank",R
N00041329,"Machat, Steven",D
N00043685,"Mack, Kimberly",R
N00042060,"Mack, Richard",R
N00042162,"MacKenzie, Mark",D
N00041866,"Mackenzie, Ryan",R
N00039097,"MacKenzie, Stephen",R
N00040742,"Mackey, Andrew",D
N00041118,"Mackey, Joe",D
N00041045,"Mackler, James",D
N00041167,"Madden, Patrick",D
N00040965,"Maddux, Jack",R
N00041630,"Madueno, Virginia",D
N00043703,"Maertens, Matthew K",I
N00040672,"Magnuson, Cameron",D
N00043615,"Mahaffey, Todd",I
N00039065,"Mahendra, Bobby",D
N00043936,"Mahmoud, Mahmoud",3
N00041300,"Mahony, Josh",D
N00043604,"Mair, Robert",I
N00035033,"Majors, Bruce",L
N00042796,"Malarsie, Mary",I
N00041648,"Malek, Luke",R
N00041747,"Malik, Anita",D
N00031530,"Malik, Dean",R
N00042223,"Malik, Silky",D
N00041843,"Malinowski, Tom",D
N00041890,"Mallard, Karen",D
N00038614,"Malloy, Patrick",D
N00042141,"Malone, Bopha",D
N00000078,"Maloney, Carolyn B",D
N00034277,"Maloney, Sean Patrick",D
N00039146,"Manchik, Joe",3
N00032838,"Manchin, Joe",D
N00033174,"Mandel, Josh",R
N00040930,"Mandelblatt, Lisa",D
N00043144,"Manjarres, Javier",R
N00042487,"Manley, Pat",R
N00040987,"Mann, Christine",D
N00042561,"Manning, Chelsea",D
N00043188,"Manning, Chris",L
N00042159,"Manning, Kathy",D
N00041576,"Manno, Roger",D
N00040180,"Mantanona, Nicholas",I
N00041200,"Mantey, Dale S",D
N00035790,"Mapp, Chris",R
N00041345,"March, Anthony",D
N00026710,"Marchant, Kenny",R
N00042377,"Margalis, Tony",D
N00041664,"Marino, Louis",R
N00031777,"Marino, Tom",R
N00040861,"Markos, Juan",R
N00039705,"Markowitz, Warren",3
N00041273,"Marks, Doug",L
N00038474,"Marks, Stephen",R
N00027372,"Marsh, Michael",3
N00040622,"Marshall, Jennifer",D
N00037034,"Marshall, Roger",R
N00040834,"Marshall, Ron",D
N00041114,"Marshall, Zane",R
N00037294,"Marsicano, Michael",D
N00038562,"Marter, James",R
N00034790,"Marthone, Joe",D
N00040963,"Martian, Chris",D
N00035510,"Martin, Andy",R
N00042605,"Martin, Brandon",R
N00042107,"Martin, Ernie",D
N00041830,"Martin, Henry",D
N00042441,"Martin, Jenica",L
N00043130,"Martin, Paul",R
N00041753,"Martin, Richard",D
N00042845,"Martin, Robert",L
N00042774,"Martin, Susan Ann",I
N00043754,"Martin, William",D
N00041372,"Martinez, Damon",D
N00043187,"Martinez, Ryan",L
N00041453,"Martinez, Tony",D
N00041241,"Marts, Tola",D
N00041384,"Martz, Emily",D
N00030133,"Marvin, Larry",D
N00042392,"Maryott, Brian",R
N00042413,"Marzett, Gregory",I
N00042759,"Mason, Mia",3
N00042702,"Mason, Raz",D
N00041876,"Mason, Robert",3
N00043255,"Massengale, Jeremy",R
N00034041,"Massie, Thomas",R
N00037269,"Mast, Brian",R
N00042071,"Masterman-Smith, Mike",D
N00042494,"Masters, Paul",R
N00042438,"Mastrianni, David",D
N00042710,"Mastriano, Douglas Ph.D.",R
N00042657,"Matemu, Japheth",L
N00041212,"Maternowski, Todd",D
N00041531,"Matheny, Judd",R
N00043141,"Mathur, Sumati",D
N00041810,"Matias, Juana",D
N00041062,"Matiella, Mary Sally",D
N00041595,"Matlock, Jimmy",R
N00037523,"Matory, Liz",R
N00027459,"Matsui, Doris O",D
N00041632,"Matta, Tatiana",D
N00043408,"Maurice, Victor G.",D
N00041794,"Mauro, Eddie J",D
N00042477,"Maxwell, Jim",R
N00041437,"Maxwell, Mary",R
N00042045,"May, Justin Tyler",D
N00041141,"May, Wendy Ella",D
N00043426,"Mays, Doug",R
N00041807,"Mazen, Nadeem",D
N00041353,"Mazen, Nadeem",D
N00041110,"Mazeski, Kelly",D
N00042013,"McAdams, Ben",D
N00042294,"McAdams, Ryan",R
N00041047,"McAllen, Roman",D
N00040661,"Mcardle, Angela",L
N00040617,"McArthur, Gabriel",D
N00042813,"McBath, Lucy",D
N00041916,"Mcbride, Arlester (Mac)",I
N00042101,"McCaigue, David",L
N00041101,"Mccall, Josh",D
N00035273,"McCall, Matt",R
N00042625,"McCamon, Mike",D
N00043089,"Mccandless, Reed C.",3
N00025044,"McCann, John",R
N00043571,"McCants, Kevin",I
N00039822,"Mccarthy, John",R
N00040732,"Mccarthy, Kelly",D
N00028152,"McCarthy, Kevin",R
N00043437,"McCarthy, Mike",D
N00027694,"McCaskill, Claire",D
N00026460,"McCaul, Michael",R
N00042705,"Mccauley, Greg",R
N00035304,"McClelland, Erin",D
N00006863,"McClintock, Tom",R
N00041148,"McClure, Jessica",D
N00043061,"McCoard, Melanie",3
N00012942,"McCollum, Betty",D
N00041121,"Mcconnell, Joseph",D
N00042773,"Mcconnell, Lizzetta Hill",D
N00043043,"Mccorkle, William",R
N00041082,"McCormick, Karen",D
N00043413,"McCormick, Lisa",D
N00041145,"McCready, Dan",D
N00040953,"McDade, Mark",D
N00035663,"McDaniel, Chris",R
N00026605,"McDermott, George",R
N00036858,"McDermott, John V",3
N00038854,"McDevitt, David",D
N00041412,"McDonald, Darlene",D
N00034566,"McDonald, Ronnie",D
N00038290,"McDowell, Jan",D
N00043183,"McEachern, Deaglan",D
N00039327,"McEachin, Donald",D
N00042941,"McElligott, John B",L
N00043450,"McFadden, Adam",D
N00040983,"McFadden, Elliott",D
N00040844,"McFadden, Garrick",D
N00037051,"McFall, Steve",R
N00041268,"Mcgee, Brian",D
N00040748,"Mcginty, John",D
N00043446,"McGonigle, Dean",I
N00000179,"McGovern, James P",D
N00042666,"McGovern, Mark",R
N00041505,"McGrath, Amy",D
N00040845,"McHale, Judith",D
N00026627,"McHenry, Patrick",R
N00040692,"McInnis, Jimmy",D
N00043215,"Mcintosh, Elijah",D
N00043770,"Mckay, Raymond T",I
N00042292,"Mckay, Ryan Darrell",I
N00033834,"McKellar, Shirley",D
N00041857,"McKenna, John W",D
N00041467,"McKeon, David Owen",R
N00031681,"McKinley, David",R
N00041697,"McKinley, Todd",R
N00040715,"Mckinney, Dennis",D
N00041421,"McLeod-Skinner, Jamie",D
N00042206,"Mclinko, Doug",R
N00041340,"McMahan, Pat",D
N00040925,"McMiller, Beniah",D
N00042478,"McMurray, Nate",D
N00043159,"McNeil, Cristina",D
N00042461,"McNeill, Frank",D
N00026926,"McNerney, Jerry",D
N00041789,"McPherson, Bruce",R
N00041744,"McQueen, Lee",I
N00033982,"McSally, Martha",R
N00043254,"McStay, John",D
N00041933,"Mcvarish, Scott",D
N00041277,"Mead, Richard Thomas",I
N00043373,"Meade, Tyson Todd",D
N00041365,"Meader, Cortland",R
N00033631,"Meadows, Mark R",R
N00042790,"Medway, David",R
N00031134,"Meehan, Patrick",R
N00001171,"Meeks, Gregory W",D
N00040990,"Meier, Edward",D
N00039754,"Mejia, Kenneth",3
N00043935,"Mele, Gregg",3
N00040806,"Melendez, John",D
N00042069,"Melillo, Michael",I
N00040936,"Melson, Boyd",D
N00040765,"Melton, Rixi",D
N00040111,"Menconi, Arn",D
N00037022,"Mendoza, Matt",R
N00040648,"Mendoza, Sandra",D
N00000699,"Menendez, Robert",D
N00034547,"Meng, Grace",D
N00041751,"Menor, Scott",I
N00035352,"Mensing, Dale",R
N00039768,"Mercado, Juan",I
N00040036,"Mercer, Jay",R
N00042415,"Merkle, David",R
N00042709,"Merrill, Max",R
N00042382,"Merryman, Bill",L
N00041389,"Messenger, Anne",D
N00012546,"Messer, Luke",R
N00042155,"Messmer, John",D
N00042160,"Messmer, Mindi",D
N00042132,"Metcalf, Charles Jr",D
N00043163,"Methvin, Mimi",D
N00042860,"Metsa, Jason",D
N00029416,"Meuser, Dan",R
N00039239,"Meyer, John",R
N00043351,"Meyer, John",D
N00042766,"Meyers, Gary Anthony",R
N00042365,"Meyers, Larry",R
N00040697,"Meyers, Ryan",D
N00040616,"Meza, Raymond",D
N00027885,"Michaels, Barry",I
N00041685,"Michailidis, Costa",I
N00041995,"Mihalek, Valerie",R
N00025775,"Mikkelson, Harley",3
N00043890,"Milam, Millie",3
N00040941,"Milisits, Michael",D
N00041485,"Miller, Alexander",D
N00040909,"Miller, Aruna",D
N00042471,"Miller, Bruce Gordon Mr.",D
N00041542,"Miller, Carol",R
N00041092,"Miller, Christopher Austin",D
N00031493,"Miller, Darrel",D
N00041107,"Miller, Donald Roy",D
N00042501,"Miller, Drew",L
N00040558,"Miller, Gavin",R
N00040706,"Miller, Glen Scott",D
N00039702,"Miller, Jeff",R
N00032956,"Miller, Joanne",3
N00043832,"Miller, John",I
N00041176,"Miller, Johnathan",L
N00042680,"Miller, Joseph",R
N00042157,"Miller, Justin",D
N00042006,"Miller, Lee Thomas",R
N00040881,"Miller, Loretta",R
N00042362,"Miller, Mary",R
N00041326,"Miller, Mike",R
N00043220,"Miller, Preston L",R
N00043663,"Miller, Rod",R
N00040919,"Miller, Tim",R
N00043109,"Mills, Anthony",I
N00036491,"Mills, John",R
N00043134,"Mills, Jordan",3
N00032882,"Mimoun, Guy",3
N00040866,"Min, David",D
N00041131,"Minehart, Colin",D
N00040898,"Minelli, Chris",D
N00033888,"Miniear, J D",R
N00042050,"Miranda, Catherine",D
N00013416,"Mitchel, John",R
N00042533,"Mitchell, Ben",D
N00041187,"Mitchell, Danielle",D
N00041279,"Mitchell, Darius",R
N00043136,"Mitchell, Kevin",3
N00042239,"Mitchell, Mark",R
N00036274,"Mitchell, Paul",R
N00041771,"Mitchem, Todd",L
N00041688,"Mitrano, Tracy",D
N00042512,"Mizher, Adrian",R
N00031422,"Mizusawa, Bert",R
N00041322,"Mockerman, Christopher",I
N00029448,"Modica, Julien",D
N00043880,"Moffett, Mike",I
N00041672,"Moghul, Fasil",D
N00040705,"Mohammad, Neill",D
N00041982,"Mohan, Radhakrishna",D
N00041188,"Monday, Christopher",R
N00041038,"Monetti, Tony",R
N00041838,"Money, Christopher",R
N00028628,"Monroe, Mike",R
N00042058,"Montenegro, Steve",R
N00041332,"Montgomery, Chalis",D
N00042287,"Montiel, Carmen",R
N00040682,"Moody, Dan",R
N00043097,"Moody, Josh",I
N00036275,"Moolenaar, John",R
N00043057,"Moon, Kent",D
N00033814,"Mooney, Alex",R
N00041295,"Moore, Barry",R
N00043063,"Moore, Charlotte",D
N00043454,"Moore, Dave",3
N00043276,"Moore, David",I
N00026914,"Moore, Gwen",D
N00042578,"Moore, Kyle",D
N00041027,"Moore, Roy",R
N00036478,"Moore, Sidney",D
N00041646,"Moorehead, Patrick",I
N00042607,"Morales, Danny",R
N00041657,"Morales, Diego",R
N00040986,"Morales, Hector",D
N00043207,"Morelle, Joseph D",D
N00041085,"Moreno, Dominick",D
N00042420,"Moreno, Joe",D
N00043485,"Morgan, Marcia",D
N00040912,"Morgan, Matt",D
N00042212,"Morganelli, John",D
N00042216,"Morin, Will",D
N00040952,"Moro, Elizabeth",D
N00042988,"Morris, Ricky Jr",L
N00012642,"Morrisey, Patrick",R
N00040660,"Morrison, William ""Rodriguez""",R
N00008363,"Morrow, John",R
N00041447,"Morse, Jessica",D
N00042177,"Mortensen, Michelle",R
N00041507,"Moser, John",D
N00040973,"Moser, Laura",D
N00041296,"Moses, Mike",R
N00041616,"Moss, Jim",D
N00041973,"Moss, Lynda",D
N00038672,"Moss, Richard",R
N00041815,"Mossburg, Matt",R
N00043248,"Mosser, John Marshall",R
N00040996,"Mott-Smith, Marla",D
N00036504,"Mottus, Kevin",R
N00035431,"Moulton, Seth",D
N00039070,"MOVER, UNCLE                                      ",R
N00043802,"Moxley, Diane",3
N00042170,"Moya, Paul",D
N00041561,"Mucarsel-Powell, Debbie",D
N00043431,"Mullen, Michael",I
N00040752,"Mullikin, Tom",R
N00033410,"Mullin, Markwayne",R
N00042700,"Mulloy, TJ",D
N00043246,"Multari, Robert",D
N00039150,"Mundy, Keith",D
N00043357,"Muniz, John",R
N00036687,"Munro, Patrick",R
N00037529,"Muroff, Dan",D
N00027566,"Murphy, Christopher S",D
N00041139,"Murphy, Dan",D
N00040218,"Murphy, Daniel",I
N00034542,"Murphy, Jim",R
N00043502,"Murphy, Lee",R
N00040960,"Murphy, Les",D
N00042614,"Murphy, Marcus",D
N00040133,"Murphy, Stephanie",D
N00024992,"Murphy, Tim",R
N00042585,"Murray, Lavitta",D
N00041443,"Murray, Ronald",R
N00042795,"Murtaugh, Morgan",R
N00043002,"Musselwhite, Bob",D
N00041671,"Mustafa, Regina",D
N00041567,"Mustafa, Sameena",D
N00041426,"Myers, Cathy",D
N00043684,"Myers, Joe",R
N00042253,"Myers, Paul",R
N00040530,"Myers, Steve",I
